task_id,forgetting
0,71.6
1,75.4
2,54.0
3,39.4
4,39.8
5,18.2
6,10.8
7,11.4
8,16.0
9,41.8
10,20.6
11,36.4
12,11.2
13,11.2
14,13.0
15,10.6
16,10.2
17,13.2
18,-8.2
