task_id,forgetting
0,68.4
1,-25.2
2,80.0
3,-20.0
4,78.0
5,20.0
6,80.0
7,98.6
8,0.0
9,16.6
10,81.0
11,80.4
12,72.6
13,45.2
14,15.0
15,54.8
16,100.0
17,49.6
18,45.0
