task_id,forgetting
0,71.6
1,71.0
2,67.4
3,68.0
4,71.0
5,63.8
6,58.8
7,72.0
8,71.0
9,77.8
10,60.6
11,72.2
12,70.4
13,38.6
14,56.8
15,63.0
16,36.6
17,47.4
18,17.0
